name	file	offset	length	dtype	shape
model.layers.16.mlp.experts.gate_up_proj_scales	model-00000-of-00002.safetensors	4352669288	16588800	U8	32x5760x90
model.layers.16.mlp.router.bias	model-00000-of-00002.safetensors	431374184	64	BF16	32
model.layers.16.mlp.router.weight	model-00000-of-00002.safetensors	431374248	184320	BF16	32x2880
model.layers.16.post_attention_layernorm.weight	model-00000-of-00002.safetensors	431558568	5760	BF16	2880
model.layers.16.self_attn.k_proj.bias	model-00000-of-00002.safetensors	431564328	1024	BF16	512
model.layers.16.self_attn.k_proj.weight	model-00000-of-00002.safetensors	431565352	2949120	BF16	512x2880
model.layers.16.self_attn.o_proj.bias	model-00000-of-00002.safetensors	434514472	5760	BF16	2880
model.layers.16.self_attn.o_proj.weight	model-00000-of-00002.safetensors	434520232	23592960	BF16	2880x4096
model.layers.16.self_attn.q_proj.bias	model-00000-of-00002.safetensors	458113192	8192	BF16	4096
model.layers.16.self_attn.q_proj.weight	model-00000-of-00002.safetensors	458121384	23592960	BF16	4096x2880
model.layers.16.self_attn.sinks	model-00000-of-00002.safetensors	481714344	128	BF16	64
model.layers.16.self_attn.v_proj.bias	model-00000-of-00002.safetensors	481714472	1024	BF16	512
model.layers.16.self_attn.v_proj.weight	model-00000-of-00002.safetensors	481715496	2949120	BF16	512x2880
model.layers.17.input_layernorm.weight	model-00000-of-00002.safetensors	484664616	5760	BF16	2880
model.layers.17.mlp.experts.down_proj_bias	model-00000-of-00002.safetensors	484670376	184320	BF16	32x2880
model.layers.17.mlp.experts.down_proj_blocks	model-00000-of-00002.safetensors	4369258088	132710400	U8	32x2880x90x16
model.layers.17.mlp.experts.down_proj_scales	model-00000-of-00002.safetensors	4501968488	8294400	U8	32x2880x90
model.layers.17.mlp.experts.gate_up_proj_bias	model-00000-of-00002.safetensors	484854696	368640	BF16	32x5760
model.layers.17.mlp.experts.gate_up_proj_blocks	model-00000-of-00002.safetensors	4510262888	265420800	U8	32x5760x90x16
model.layers.17.mlp.experts.gate_up_proj_scales	model-00000-of-00002.safetensors	4775683688	16588800	U8	32x5760x90
model.layers.17.mlp.router.bias	model-00000-of-00002.safetensors	485223336	64	BF16	32
model.layers.17.mlp.router.weight	model-00000-of-00002.safetensors	485223400	184320	BF16	32x2880
model.layers.17.post_attention_layernorm.weight	model-00000-of-00002.safetensors	485407720	5760	BF16	2880
model.layers.17.self_attn.k_proj.bias	model-00000-of-00002.safetensors	485413480	1024	BF16	512
model.layers.17.self_attn.k_proj.weight	model-00000-of-00002.safetensors	485414504	2949120	BF16	512x2880
